Store #,# of McDonalds <1 mi,# of Subway <1 mi,# of Wendys <1 mi,# of Burger King <1 mi,# of Taco Bell <1 mi,# of McDonalds <0.5 mi,# of Subway <0.5 mi,# of Wendys <0.5 mi,# of Burger King <0.5 mi,# of Taco Bell <0.5 mi
6803,0,0,0,1,0,0,0,0,1,0
1697,1,0,1,0,0,1,0,0,0,0
5175,1,0,0,0,1,1,0,0,0,0
7067,2,1,1,1,1,1,0,0,0,0
6236,2,2,1,0,1,0,2,1,0,0
5527,1,2,0,1,0,0,2,0,1,0
6540,1,2,0,1,0,1,2,0,1,0
1134,1,1,0,0,0,0,1,0,0,0
5593,1,2,0,0,1,1,1,0,0,0
7252,0,1,1,0,0,0,1,1,0,0
7862,1,1,1,1,0,1,0,0,1,0
7139,1,1,1,1,0,0,0,1,0,0
6396,1,0,1,0,0,1,0,1,0,0
930,1,2,0,2,1,1,0,0,0,1
1666,1,2,1,2,0,0,1,1,0,0
